team,name,gender,position,board,attack_score,attack_total,block_score,block_total,serve_score,serve_total,receive_nice,receive_total,dig_nice,dig_total,set_nice,set_total,points
1,¦¿¤Ñ¯§,0,5,20,18,49,9,34,0,24,0,2,2,15,2,9,27
1,¶À¦t±á,0,4,20,7,15,15,73,4,122,0,1,16,85,208,571,26
1,§õ¨Î°a,0,1,20,0,0,0,0,0,0,136,331,86,418,7,44,0
1,¸âÌÉ¿«,0,3,20,173,340,16,107,10,242,44,203,24,220,1,27,199
1,À¹¾§Á¾,0,4,20,5,19,12,77,4,199,0,1,26,152,258,887,21
1,²øªò±¶,0,5,9,31,52,16,72,3,61,2,2,3,22,0,2,50
1,½²¨K¹ü,0,5,11,37,76,22,77,10,74,1,3,2,26,0,2,69
1,¶À«Ø³{,0,2,20,224,406,34,110,6,175,70,242,32,165,0,19,264
1,¤ý©ú¯C,0,3,20,126,224,9,80,3,91,0,0,12,106,2,12,138
1,±iµ½·½,0,2,20,51,105,3,25,5,103,23,94,9,76,2,14,59
1,ÃC®¶´I,0,5,20,59,116,20,143,2,149,2,17,6,71,3,16,81
1,³\¯¾¸Û,0,2,20,126,257,13,64,10,201,78,255,18,151,0,5,149
1,ªL©y·u,0,5,20,69,120,55,188,15,202,1,4,15,74,0,5,139
1,¶À¥¿¨},0,3,20,56,123,10,51,1,61,2,12,2,32,1,16,67
2,³¯«Ø§Ê,0,5,20,74,156,52,262,5,252,5,16,8,91,2,29,131
2,¼B¨Î©÷,0,4,20,15,30,5,45,6,208,0,6,13,148,210,798,26
2,¥Ì©ú­×,0,2,20,94,232,16,73,12,150,47,248,15,119,5,28,122
2,¶À¼á¯E,0,2,20,155,343,5,94,10,224,115,510,35,242,1,27,170
2,°ª°¶¸Û,0,2,20,151,292,16,79,7,147,64,267,25,154,0,14,174
2,Ä¬«pºÕ,0,1,20,0,0,0,0,0,0,93,299,73,428,4,60,0
2,§õ¿³°ê,0,5,20,323,616,39,172,8,226,1,2,28,202,0,17,370
2,¥î¬F§Ê,0,5,20,105,191,39,201,11,197,1,9,6,65,0,16,155
2,±i¥°êM,0,5,20,22,50,4,15,0,33,8,54,2,24,1,5,26
2,¬_³Í³Ç,0,5,2,0,1,0,3,0,15,0,0,3,10,0,38,0
2,§d­P§Ê,0,4,20,4,13,10,59,2,156,0,2,17,142,233,811,16
2,¶ÀÆN,0,2,20,5,17,1,1,0,15,6,36,0,10,0,0,6
3,¶À­³µ{,0,4,20,22,44,9,63,7,146,2,5,18,138,254,710,38
3,¶À¥@»¨,0,2,20,182,405,10,66,12,185,84,267,20,144,0,4,204
3,²ø©úèû,0,1,20,2,11,0,1,0,35,11,40,7,38,0,2,2
3,³¯¬L»Ê,0,2,20,128,262,19,130,8,160,46,173,7,123,1,8,155
3,³¯«Ø¹ü,0,5,20,22,45,6,45,1,75,2,8,4,23,0,3,29
3,¼ï§¡¾§,0,3,20,232,483,23,140,7,233,0,0,38,213,1,15,262
