team,name,session,gender,position,board,attack_score,attack_total,block_score,block_total,serve_score,serve_total,receive_nice,receive_total,dig_nice,dig_total,set_nice,set_total,points
1,¶À¥¿¨},18,0,3,26,216,497,31,116,5,226,1,5,25,151,0,0,252
1,¶À¦t±á,18,0,4,26,3,11,5,44,2,79,0,3,4,38,136,379,10
1,§õ¨Î°a,18,0,1,26,0,0,0,0,0,0,231,404,168,366,0,0,0
1,°ª§Ó¤¤,18,0,5,0,0,0,0,0,0,0,0,0,0,0,0,0,0
1,¸âÌÉ¿«,18,0,2,26,195,245,195,425,8,274,264,551,45,175,0,0,243
1,À¹¾§Á¾,18,0,4,26,12,24,12,24,2,328,0,1,33,158,602,1501,29
1,²øªò±¶,18,0,5,11,1,1,1,1,0,0,0,0,0,0,0,0,3
1,½²¨K¹ü,18,0,5,26,191,350,191,350,16,300,4,26,4,53,0,0,274
1,´¿­ZÁo,18,0,3,26,97,202,97,202,2,90,1,4,8,57,0,0,108
1,³¯¸Î¤¯,18,0,4,26,3,9,3,9,2,46,0,1,3,20,43,183,8
1,¬x¦tèû,18,0,2,26,21,55,21,55,4,41,31,84,6,22,0,0,26
1,ÃC®¶´I,18,0,5,26,24,43,24,43,1,56,0,7,1,22,0,0,29
1,³¯Ík§Ê,18,0,1,26,0,0,0,0,0,0,11,18,2,9,0,0,0
1,³\¯¾¸Û,18,0,2,26,298,567,298,567,23,386,292,540,55,196,0,0,343
1,ªL©y·u,18,0,5,26,132,240,132,240,18,359,3,17,4,72,0,0,200
1,¥Ì©ú­×,18,0,2,15,58,116,58,116,6,56,25,77,4,38,0,0,70
2,_¶h³Í,18,0,2,21,202,401,17,82,13,247,189,434,34,122,0,0,232
2,ªL¹Å°¶,18,0,4,21,1,4,3,48,0,143,0,2,15,92,262,962,4
2,©P¤l¬v,18,0,1,21,0,0,0,0,0,0,3,5,0,0,0,0,0
2,³¯¦w,18,0,4,21,0,1,0,0,0,6,0,1,0,2,0,7,0
2,¦¶¬ê¥à,18,0,3,21,9,21,0,9,0,16,0,0,0,4,0,0,9
2,¬xºaµo,18,0,3,21,350,759,33,138,13,282,0,1,32,167,0,0,396
2,Ä¬³{¿A,18,0,1,21,0,0,0,0,0,0,257,438,93,289,0,0,0
2,±i¯§±á,18,0,2,21,57,144,4,21,2,85,66,158,12,52,0,0,63
2,²ø©¨²»,18,0,3,21,0,1,0,0,0,1,0,0,0,2,0,0,0
2,ªL¸Î¶v,18,0,5,21,66,134,46,207,5,238,3,7,9,73,0,0,117
2,³\§Ê®¦,18,0,3,0,0,0,0,0,0,0,0,0,0,0,0,0,0
2,³\ºÍ®¦,18,0,5,21,60,132,40,193,5,284,5,10,7,64,0,0,105
2,¬_³Í³Ç,18,0,4,21,8,25,12,65,6,162,0,1,6,69,157,840,26
